"n","true_dist","assumed_dist","parameter","true_value","mean_estimate","bias","mean_abs_error","parameter_mse","parameter_rmse","true_dist_label","assumed_dist_label"
500,"ged","sged","shape",1.5,1.52944287488402,0.0294428748840221,0.119981741870511,0.0231724980689102,0.152225155834738,"GED","Skewed GED"
500,"ged","sged","skew",NA,1.00312687723946,NA,NA,NA,NA,"GED","Skewed GED"
500,"ged","sstd","alpha1",0.15,0.159454237776518,0.00945423777651806,0.0414011021917896,0.00275503826457584,0.052488458393973,"GED","Skewed Student-t"
500,"ged","sstd","beta1",0.9,0.883468203157579,-0.0165317968424207,0.0463843081969262,0.00577382458725968,0.0759856867262492,"GED","Skewed Student-t"
500,"ged","sstd","gamma1",0.1,0.073262577717001,-0.026737422282999,0.0625948777758698,0.00644333065278886,0.080270359739999,"GED","Skewed Student-t"
500,"ged","sstd","mu",0,0.00105149119317019,0.00105149119317019,0.021666003273764,0.000728519911057243,0.026991107999807,"GED","Skewed Student-t"
500,"ged","sstd","omega",-0.1,-0.11690569190866,-0.0169056919086603,0.0478673542589037,0.00630918916812692,0.0794304045572407,"GED","Skewed Student-t"
500,"ged","sstd","shape",1.5,12.6199382884712,11.1199382884712,11.1199382884712,210.815128091668,14.519474098316,"GED","Skewed Student-t"
500,"ged","sstd","skew",NA,1.0036480862999,NA,NA,NA,NA,"GED","Skewed Student-t"
500,"ged","std","alpha1",0.15,0.15921725957768,0.00921725957768013,0.0413740052179315,0.00274632386794602,0.0524053801431306,"GED","Student-t"
500,"ged","std","beta1",0.9,0.883881905149865,-0.0161180948501348,0.0457924705410868,0.00523116670987592,0.0723268049195865,"GED","Student-t"
500,"ged","std","gamma1",0.1,0.0728848780858497,-0.0271151219141503,0.0629754625309122,0.00656196219312427,0.0810059392459854,"GED","Student-t"
500,"ged","std","mu",0,0.000974480794518045,0.000974480794518045,0.0204905021107185,0.000658956833631223,0.0256701545307235,"GED","Student-t"
500,"ged","std","omega",-0.1,-0.116504260691917,-0.016504260691917,0.0470198536971947,0.00574732496687937,0.0758111137425073,"GED","Student-t"
500,"ged","std","shape",1.5,13.0408823196777,11.5408823196777,11.5408823196777,283.039839103163,16.8237878940256,"GED","Student-t"
500,"ged","std","skew",NA,NA,NA,NA,NA,NA,"GED","Student-t"
500,"norm","ged","alpha1",0.15,0.157555034691881,0.00755503469188117,0.0350295537361467,0.00201157056809925,0.0448505358730445,"Normal","GED"
500,"norm","ged","beta1",0.9,0.884674608723648,-0.015325391276352,0.0409963112632241,0.0040564989246576,0.0636906502138077,"Normal","GED"
500,"norm","ged","gamma1",0.1,0.0773574251911736,-0.0226425748088264,0.0570187831810923,0.00546376620247111,0.0739172929866287,"Normal","GED"
500,"norm","ged","mu",0,0.00166563809150018,0.00166563809150018,0.0214822495325746,0.000728541467889946,0.0269915073289719,"Normal","GED"
500,"norm","ged","omega",-0.1,-0.116411866448885,-0.016411866448885,0.042233408350456,0.00463765906767591,0.0681003602609847,"Normal","GED"
500,"norm","ged","shape",NA,2.06008242706471,NA,NA,NA,NA,"Normal","GED"
500,"norm","ged","skew",NA,NA,NA,NA,NA,NA,"Normal","GED"
500,"norm","norm","alpha1",0.15,0.157438778011713,0.00743877801171299,0.0349749189640434,0.00199843382532731,0.0447038457554528,"Normal","Normal"
500,"norm","norm","beta1",0.9,0.884617538321772,-0.0153824616782277,0.0411133069410451,0.00406838236030614,0.0637838722586371,"Normal","Normal"
500,"norm","norm","gamma1",0.1,0.07748044228292,-0.02251955771708,0.056918849225035,0.0054897729083846,0.0740930017503988,"Normal","Normal"
500,"norm","norm","mu",0,0.00156320117656818,0.00156320117656818,0.0213359174481519,0.000720517056839482,0.0268424487861946,"Normal","Normal"
500,"norm","norm","omega",-0.1,-0.116650516437477,-0.0166505164374773,0.0424923997001953,0.00467768383227796,0.0683935949653033,"Normal","Normal"
500,"norm","norm","shape",NA,NA,NA,NA,NA,NA,"Normal","Normal"
500,"norm","norm","skew",NA,NA,NA,NA,NA,NA,"Normal","Normal"
500,"norm","sged","alpha1",0.15,0.157467220017126,0.00746722001712638,0.0352647443835469,0.00202217667243018,0.0449686187516381,"Normal","Skewed GED"
500,"norm","sged","beta1",0.9,0.884370590386878,-0.0156294096131218,0.0413165254002254,0.00420395916434139,0.0648379454049971,"Normal","Skewed GED"
500,"norm","sged","gamma1",0.1,0.0771850486447138,-0.0228149513552862,0.0572369348107944,0.00552942850814642,0.0743601271391222,"Normal","Skewed GED"
500,"norm","sged","mu",0,0.00167853946094497,0.00167853946094497,0.0215107711871888,0.00072636674060459,0.0269511918215984,"Normal","Skewed GED"
500,"norm","sged","omega",-0.1,-0.116662795035165,-0.0166627950351654,0.0424672918410249,0.00476184782579418,0.0690061433916878,"Normal","Skewed GED"
500,"norm","sged","shape",NA,2.06089862977422,NA,NA,NA,NA,"Normal","Skewed GED"
500,"norm","sged","skew",NA,0.996762417556113,NA,NA,NA,NA,"Normal","Skewed GED"
500,"norm","sstd","alpha1",0.15,0.158204090526985,0.0082040905269851,0.0354233225364051,0.00204907237264213,0.0452666806011014,"Normal","Skewed Student-t"
500,"norm","sstd","beta1",0.9,0.880720600281524,-0.0192793997184764,0.0447977741175975,0.00676778945396594,0.0822665755575491,"Normal","Skewed Student-t"
500,"norm","sstd","gamma1",0.1,0.0777038117215574,-0.0222961882784426,0.0575493923389531,0.00560958786367453,0.074897181947484,"Normal","Skewed Student-t"
500,"norm","sstd","mu",0,0.00177372443227267,0.00177372443227267,0.0215188978842398,0.000727889487276969,0.0269794271117266,"Normal","Skewed Student-t"
500,"norm","sstd","omega",-0.1,-0.120440324283304,-0.0204403242833037,0.0461296123688332,0.00752748160359605,0.0867610604107398,"Normal","Skewed Student-t"
500,"norm","sstd","shape",NA,52.8197088064178,NA,NA,NA,NA,"Normal","Skewed Student-t"
500,"norm","sstd","skew",NA,0.997360915278203,NA,NA,NA,NA,"Normal","Skewed Student-t"
500,"norm","std","alpha1",0.15,0.158008269871396,0.00800826987139554,0.0351890468723182,0.00204173063881437,0.0451855135946729,"Normal","Student-t"
500,"norm","std","beta1",0.9,0.882441951060601,-0.017558048939399,0.0431081481282551,0.00498234004077587,0.0705856928901025,"Normal","Student-t"
500,"norm","std","gamma1",0.1,0.0777689805166913,-0.0222310194833087,0.0576947731689205,0.00565939240945139,0.0752289333265558,"Normal","Student-t"
500,"norm","std","mu",0,0.00185945425821206,0.00185945425821206,0.0214322681414849,0.000726652975682924,0.0269565015475474,"Normal","Student-t"
500,"norm","std","omega",-0.1,-0.118896732023116,-0.0188967320231161,0.0445423043377288,0.00565384527265899,0.0751920559145645,"Normal","Student-t"
500,"norm","std","shape",NA,79.7850082897836,NA,NA,NA,NA,"Normal","Student-t"
500,"norm","std","skew",NA,NA,NA,NA,NA,NA,"Normal","Student-t"
500,"sged","ged","alpha1",0.15,0.165415813524692,0.0154158135246922,0.055778275381346,0.00526768929297879,0.0725788487989359,"Skewed GED","GED"
500,"sged","ged","beta1",0.9,0.877834613761979,-0.0221653862380211,0.063577747019451,0.0114918677107212,0.107200129247689,"Skewed GED","GED"
500,"sged","ged","gamma1",0.1,0.0685153796560168,-0.0314846203439832,0.082668662382032,0.0114510115518798,0.107009399362298,"Skewed GED","GED"
500,"sged","ged","mu",0,0.0651065385674632,0.0651065385674632,0.0669283303763472,0.00602560476245632,0.0776247690009852,"Skewed GED","GED"
500,"sged","ged","omega",-0.1,-0.106485346531072,-0.00648534653107238,0.0631245157487553,0.00992385456613824,0.0996185452922208,"Skewed GED","GED"
500,"sged","ged","shape",1.5,1.50474586144951,0.00474586144951094,0.159997264477047,0.0435479009702046,0.208681338337199,"Skewed GED","GED"
500,"sged","ged","skew",0.5,NA,NA,NA,NA,NA,"Skewed GED","GED"
500,"sged","norm","alpha1",0.15,0.160200873040459,0.0102008730404588,0.0531974231106219,0.0046551856236762,0.0682289207277691,"Skewed GED","Normal"
500,"sged","norm","beta1",0.9,0.883392851081088,-0.0166071489189122,0.0648789069802717,0.0114100497347455,0.10681783434776,"Skewed GED","Normal"
500,"sged","norm","gamma1",0.1,0.0670213997427542,-0.0329786002572458,0.0821810617623045,0.0112830399375351,0.10622165474862,"Skewed GED","Normal"
500,"sged","norm","mu",0,0.00720394823286431,0.00720394823286431,0.0226654223918197,0.000831693131777875,0.0288390903424133,"Skewed GED","Normal"
500,"sged","norm","omega",-0.1,-0.11624371172876,-0.0162437117287605,0.0654921082259219,0.0113929783920045,0.106737895763428,"Skewed GED","Normal"
500,"sged","norm","shape",1.5,NA,NA,NA,NA,NA,"Skewed GED","Normal"
500,"sged","norm","skew",0.5,NA,NA,NA,NA,NA,"Skewed GED","Normal"
500,"sged","sged","alpha1",0.15,0.149967981500773,-3.20184992266104e-05,0.0330857663608792,0.00179170390709489,0.0423285235638439,"Skewed GED","Skewed GED"
500,"sged","sged","beta1",0.9,0.884036763024829,-0.0159632369751714,0.0410875914617552,0.00417949678498574,0.0646490277187966,"Skewed GED","Skewed GED"
500,"sged","sged","gamma1",0.1,0.0836006651878318,-0.0163993348121682,0.0492902783479476,0.0040322335603846,0.0634998705540775,"Skewed GED","Skewed GED"
500,"sged","sged","mu",0,0.000529002735676694,0.000529002735676694,0.0207664874324866,0.000693656036420893,0.0263373505960811,"Skewed GED","Skewed GED"
500,"sged","sged","omega",-0.1,-0.11682210463775,-0.0168221046377495,0.0418952643993739,0.00431875437333127,0.0657172304143386,"Skewed GED","Skewed GED"
500,"sged","sged","shape",1.5,1.53100814338182,0.0310081433818172,0.12021863358963,0.0237744722240728,0.154189728010892,"Skewed GED","Skewed GED"
500,"sged","sged","skew",0.5,0.492304737452009,-0.00769526254799058,0.0312876184617229,0.00156623821541616,0.039575727604381,"Skewed GED","Skewed GED"
500,"sged","sstd","alpha1",0.15,0.149319076989609,-0.000680923010390992,0.0330740960885768,0.00178930711603214,0.042300202316681,"Skewed GED","Skewed Student-t"
500,"sged","sstd","beta1",0.9,0.884416378001181,-0.0155836219988194,0.0414488376563038,0.00416129855531763,0.0645081278236908,"Skewed GED","Skewed Student-t"
500,"sged","sstd","gamma1",0.1,0.0832310465245309,-0.0167689534754691,0.0494994396099394,0.00404470668232725,0.0635980084776815,"Skewed GED","Skewed Student-t"
500,"sged","sstd","mu",0,-0.00279353870452942,-0.00279353870452942,0.0210110843192439,0.000709388234891418,0.0266343431473618,"Skewed GED","Skewed Student-t"
500,"sged","sstd","omega",-0.1,-0.117679984754577,-0.0176799847545767,0.0426724255269879,0.00438808940458514,0.0662426554765518,"Skewed GED","Skewed Student-t"
500,"sged","sstd","shape",1.5,13.3948918717632,11.8948918717632,11.8948918717632,255.941156754811,15.9981610429077,"Skewed GED","Skewed Student-t"
500,"sged","sstd","skew",0.5,0.490106811943054,-0.00989318805694587,0.031622923251832,0.00163331817277678,0.0404143312795941,"Skewed GED","Skewed Student-t"
