"n","true_dist","assumed_dist","convergence_rate","mean_AIC","sd_AIC","mean_BIC","sd_BIC","mean_loglik","mean_MSE","mean_RMSE","mean_MAE","median_MSE","median_RMSE","median_MAE","mean_sigma_rmse","median_sigma_rmse","mean_variance_rmse","median_variance_rmse","true_dist_label","assumed_dist_label"
500,"ged","ged",1,1.82604452823524,0.117534123399203,1.87661982541631,0.117534123399203,-450.51113205881,0.00293043588746894,0.0493475314543033,0.0392249734747846,0.00217748315637405,0.0466634740333055,0.0369420926441152,0.0493475314543033,0.0466634740333055,0.069167795076746,0.0626935501047134,"GED","GED"
500,"ged","norm",1,1.84159356129647,0.117724080694109,1.8837396422807,0.117724080694109,-455.398390324118,0.00296657358687857,0.0496887397674506,0.0394693927860026,0.00217902426374546,0.0466800195557303,0.0373202947081024,0.0496887397674506,0.0466800195557303,0.06977348257978,0.0626133152856209,"GED","Normal"
500,"ged","sged",1,1.82804866075967,0.117482264005132,1.88705317413758,0.117482264005132,-450.012165189917,0.00294058733616296,0.0494759783516798,0.0393373499125807,0.00214165777071521,0.0462780483871123,0.0367841609167015,0.0494759783516798,0.0462780483871123,0.0694019266335782,0.062856737688279,"GED","Skewed GED"
500,"ged","sstd",1,1.83161782949153,0.117354225353919,1.89062234286944,0.117354225353919,-450.904457372883,0.00299694759473319,0.0501164158136343,0.0398002208887093,0.00225604115208195,0.0474977925152435,0.0376209779381445,0.0501164158136343,0.0474977925152435,0.070631803838332,0.0635981557762996,"GED","Skewed Student-t"
500,"ged","std",1,1.82932740954019,0.117323648956147,1.87990270672126,0.117323648956147,-451.331852385048,0.00300569525832965,0.0500525638218103,0.0397475219875605,0.002257140066257,0.0475093644253429,0.0376295156158645,0.0500525638218103,0.0475093644253429,0.0704568073598211,0.0638424527644218,"GED","Student-t"
500,"norm","ged",1,1.84635352645518,0.113464629022568,1.89692882363625,0.113464629022568,-455.588381613795,0.00207366215379363,0.0416901188267555,0.0332638851312244,0.00155122420402989,0.0393855810085337,0.0315128160568445,0.0416901188267555,0.0393855810085337,0.0572034558617944,0.053671844247881,"Normal","GED"
500,"norm","norm",1,1.84452595037064,0.113472636162871,1.88667203135486,0.113472636162871,-456.131487592659,0.00208738029916966,0.0417349816221712,0.0333104785265071,0.00156677293824158,0.0395824719435764,0.0315326662566614,0.0417349816221712,0.0395824719435764,0.0572412925504054,0.0536845133882895,"Normal","Normal"
500,"norm","sged",1,1.84819725746703,0.113362131586859,1.90720177084494,0.113362131586859,-455.049314366757,0.00210009703674541,0.0418612389628007,0.0333832895575427,0.00154210283337838,0.0392696168282913,0.0314430492351212,0.0418612389628007,0.0392696168282913,0.0574416881083892,0.0536152651201033,"Normal","Skewed GED"
500,"norm","sstd",1,1.85100404279108,0.113328100888055,1.91000855616899,0.113328100888055,-455.75101069777,0.00213854518231546,0.042190108420744,0.0336360199556774,0.0015570358927116,0.0394592937169145,0.0314720578571047,0.042190108420744,0.0394592937169145,0.0579398674455239,0.0534928698571963,"Normal","Skewed Student-t"
500,"norm","std",1,1.84851935006074,0.113450281199454,1.8990946472418,0.113450281199454,-456.129837515184,0.00213286867691662,0.0421033753114048,0.0335722074191485,0.00155965652078978,0.0394924824689091,0.0314390481692971,0.0421033753114048,0.0394924824689091,0.0577921506845031,0.0539101241896031,"Normal","Student-t"
