"n","true_dist","assumed_dist","convergence_rate","mean_AIC","sd_AIC","mean_BIC","sd_BIC","mean_loglik","mean_MSE","mean_RMSE","mean_MAE","median_MSE","median_RMSE","median_MAE","mean_sigma_rmse","median_sigma_rmse","mean_variance_rmse","median_variance_rmse","true_dist_label","assumed_dist_label"
100,"ged","ged",1,1.81543878178657,0.293277960217897,1.97174899294586,0.293277960217897,-84.7719390893285,7799999999101137,1248999.76934291,780000.345896561,0.0245317119630216,0.156626025031239,0.125640967263586,1248999.76934291,0.156626025031239,12489995996796802,0.194300051606676,"GED","GED"
100,"ged","norm",1,1.80485886763303,0.280479931371497,1.93511737693244,0.280479931371497,-85.2429433816516,0.0376080929788803,0.158666083583682,0.127917754966145,0.0245360402140192,0.156639841629784,0.126382289940158,0.158666083583682,0.156639841629784,0.23000513734098,0.193620408603401,"GED","Normal"
100,"ged","sged",1,1.81553940238185,0.271963623363347,1.99790131540102,0.271963623363347,-83.7769701190927,0.0323990806697045,0.165075862971186,0.132543555736906,0.0266194173117559,0.163154579741659,0.131173975638736,0.165075862971186,0.163154579741659,0.235082095010018,0.202014538311651,"GED","Skewed GED"
100,"ged","sstd",1,1.84444136510862,1.28357706091292,2.02680327812779,1.28357706091292,-85.2220682554311,0.0793850033006387,0.19092523311368,0.153321008494958,0.029832692273228,0.172721364372284,0.137655171000241,0.19092523311368,0.172721364372284,0.338237146515877,0.223459691663707,"GED","Skewed Student-t"
100,"ged","std",1,1.84823422670015,1.93127171562899,2.00454443785944,1.93127171562899,-86.4117113350075,0.0452709064550112,0.179755451879972,0.144232667803664,0.0281771201502173,0.167860418304471,0.134852533357198,0.179755451879972,0.167860418304471,0.277391399811493,0.211319957145465,"GED","Student-t"
100,"norm","ged",1,1.8354356835304,0.256159979858544,1.99174589468968,0.256159979858544,-85.7717841765199,999999999805128,447213.728174824,100000.107430283,0.0166062694704981,0.128865314963928,0.103838804645897,447213.728174824,0.128865314963928,4472135954999580,0.161665350342551,"Normal","GED"
100,"norm","norm",1,1.82821812688847,0.249749211591702,1.95847663618788,0.249749211591702,-86.4109063444235,0.0221512088814105,0.135914306224241,0.109926835732178,0.0179458629228651,0.133962167387019,0.108025173266214,0.135914306224241,0.133962167387019,0.183332058350239,0.166136725388079,"Normal","Normal"
100,"norm","sged",1,1.83533811837246,0.248226060000825,2.01770003139163,0.248226060000825,-84.7669059186232,0.0227441618738235,0.137557116115504,0.110826147884878,0.0182463098873763,0.135078887170588,0.108939589593127,0.137557116115504,0.135078887170588,0.189837079906717,0.168266209792082,"Normal","Skewed GED"
100,"norm","sstd",1,1.86407004491762,0.265876291909152,2.04643195793678,0.265876291909152,-86.2035022458808,0.0308920533833222,0.155557202567591,0.12450197800285,0.0226059553465319,0.15035276884188,0.120482330420121,0.155557202567591,0.15035276884188,0.228358324163471,0.193129312008129,"Normal","Skewed Student-t"
100,"norm","std",1,1.85754127808243,0.246695600926827,2.01385148924171,0.246695600926828,-86.8770639041213,0.0283942634609682,0.148960211909763,0.119579516780121,0.0208143218050922,0.144271694399234,0.115940290986149,0.148960211909763,0.144271694399234,0.212960163295915,0.178929751853915,"Normal","Student-t"
100,"sged","ged",1,1.78109399144844,0.646050446937562,1.93740420260772,0.646050446937562,-83.0546995724218,9531466538421382,1380685.98164854,956215.35067473,0.027588652502449,0.166098321792601,0.135858596415459,1380685.98164854,0.166098321792601,13774191268630730,0.201147562091924,"Skewed GED","GED"
100,"sged","norm",1,1.7836696841457,0.886926039872374,1.9139281934451,0.886926039872374,-84.1834842072849,0.0327886413897406,0.167790723418758,0.136488095190671,0.0274488004632985,0.165676795184758,0.136154823497577,0.167790723418758,0.165676795184758,0.226908378490632,0.200651184949722,"Skewed GED","Normal"
100,"sged","sged",1,1.61431975796099,0.272175360537966,1.79668167098016,0.272175360537966,-73.7159878980497,231309708882279,215086.015381975,32058.9771518639,0.0130544670718376,0.114256146756213,0.0945069227742394,215086.015381975,0.114256146756213,2018064520080161,0.140287504481194,"Skewed GED","Skewed GED"
100,"sged","sstd",1,1.61743207793228,0.185615114438325,1.79979399095144,0.185615114438325,-73.8716038966138,0.0953412398593686,0.165217222286823,0.141737224396442,0.0158004360236283,0.125699782655753,0.102955226985386,0.165217222286823,0.125699782655753,0.305158111645707,0.155598367372244,"Skewed GED","Skewed Student-t"
100,"sged","std",1,1.77779767852888,0.35431398145391,1.93410788968816,0.35431398145391,-82.8898839264439,6799999999199143,1166190.57940617,680000.23549831,0.0301792766971143,0.173721833804866,0.141966080259425,1166190.57940617,0.173721833804866,11661903789690602,0.215904633249393,"Skewed GED","Student-t"
100,"sstd","ged",1,1.75083950728649,0.272753611926547,1.90714971844578,0.272753611926547,-81.5419753643247,0.035398576255784,0.172753936991274,0.140676592775234,0.0285177184305573,0.168871899092648,0.138430374928904,0.172753936991274,0.168871899092648,0.23766773938923,0.203157837240079,"Skewed Student-t","GED"
100,"sstd","norm",1,1.76426950574427,0.884999636256449,1.89452801504367,0.884999636256449,-83.2134752872135,0.0353384473742522,0.173491204088682,0.140839765241885,0.0289839216338276,0.17024664930973,0.138661637008617,0.173491204088682,0.17024664930973,0.23873719386543,0.204019338151437,"Skewed Student-t","Normal"
100,"sstd","sged",1,1.60021007826368,0.267495070265795,1.78257199128285,0.267495070265795,-73.0105039131841,8204832210496622,1465293.1517653,825011.588999389,0.0137219074332947,0.117140544718752,0.0971609191244839,1465293.1517653,0.117140544718752,14649171539185010,0.143903426187516,"Skewed Student-t","Skewed GED"
100,"sstd","sstd",1,1.61956147228691,1.58055651317739,1.80192338530608,1.58055651317739,-73.9780736143456,0.186433597469435,0.183773389311441,0.159934221516512,0.0162712862490363,0.127558951680331,0.105921582037249,0.183773389311441,0.127558951680331,0.422195518737769,0.159007001607476,"Skewed Student-t","Skewed Student-t"
100,"sstd","std",1,1.74432736919575,0.199903489594339,1.90063758035503,0.199903489594339,-81.2163684597874,0.0749041645293909,0.207086428144977,0.169476177822593,0.0308786507421591,0.175723220757412,0.144396479843693,0.207086428144977,0.175723220757412,0.34444093924687,0.214216910515322,"Skewed Student-t","Student-t"
100,"std","ged",1,1.79800437819583,0.272942370343323,1.95431458935512,0.272942370343323,-83.9002189097917,0.0296752015714143,0.157602670262665,0.126739501015368,0.0240965957284618,0.155230781679022,0.124598385595102,0.157602670262665,0.155230781679022,0.221855480263237,0.190609595878786,"Student-t","GED"
100,"std","norm",1,1.79104602050863,0.280539460591958,1.92130452980804,0.280539460591958,-84.5523010254316,0.0352978215474974,0.160920381937584,0.128721411151586,0.0249388459703163,0.157920378454916,0.127157351435572,0.160920381937584,0.157920378454916,0.24937893736136,0.193355890722081,"Student-t","Normal"
