"n","true_dist","assumed_dist","selected_count","selected_total","selection_rate","criterion","true_dist_label","assumed_dist_label"
8000,"sged","sged",4972,5000,0.9944,"BIC","Skewed GED","Skewed GED"
8000,"sged","std",0,0,NA,"BIC","Skewed GED","Student-t"
8000,"sged","sstd",28,5000,0.0056,"BIC","Skewed GED","Skewed Student-t"
8000,"std","norm",0,0,NA,"BIC","Student-t","Normal"
8000,"std","ged",12,5000,0.0024,"BIC","Student-t","GED"
8000,"std","sged",0,0,NA,"BIC","Student-t","Skewed GED"
8000,"std","std",4966,5000,0.9932,"BIC","Student-t","Student-t"
8000,"std","sstd",22,5000,0.0044,"BIC","Student-t","Skewed Student-t"
8000,"sstd","norm",0,0,NA,"BIC","Skewed Student-t","Normal"
8000,"sstd","ged",0,0,NA,"BIC","Skewed Student-t","GED"
8000,"sstd","sged",19,5000,0.0038,"BIC","Skewed Student-t","Skewed GED"
8000,"sstd","std",0,0,NA,"BIC","Skewed Student-t","Student-t"
8000,"sstd","sstd",4981,5000,0.9962,"BIC","Skewed Student-t","Skewed Student-t"
