"n","true_dist","true_dist_label","assumed_dist","assumed_dist_label","standard_error_omega","standard_error_alpha","standard_error_beta","standard_error_gamma","MSE_omega","MSE_alpha","MSE_beta","MSE_gamma","MAE_omega","MAE_alpha","MAE_beta","MAE_gamma","AIC","BIC"
100,"norm","Normal","norm","Normal",0.0823526480948758,0.0599423250317075,0.0734968039379637,0.0876960730140978,0.0654770611940338,0.019095330025535,0.0471401347289298,0.185109490052039,0.125194461950381,0.106401371904065,0.110194893236121,0.3476510377634,1.82821812688847,1.95847663618788
1000,"norm","Normal","norm","Normal",0.0312122495731348,0.028579207467617,0.0304446039392124,0.0399534483118862,0.0012671651576291,0.000841938012401776,0.00116173169681192,0.00185129264143405,0.024991543993986,0.0229612098974902,0.0241286501062338,0.0340045364915274,1.84273991775581,1.86727869415072
5000,"norm","Normal","norm","Normal",0.0127462326426806,0.0123939471510739,0.0124427389641889,0.0175944668678137,0.000158927780811393,0.000152816772145038,0.000150486423689686,0.000314451268406842,0.00987438405642628,0.00985296917648401,0.00966728097123155,0.0140778452309919,1.8385546259637,1.84507181915511
8000,"norm","Normal","norm","Normal",0.00992565314794854,0.00972589122867794,0.00967632437192351,0.0138678212704849,9.7383663772636e-05,9.29334012529839e-05,9.28965856648416e-05,0.000194194157415447,0.00780114685763222,0.00768241237813903,0.00761639838913216,0.0111414558862582,1.83837403465678,1.84274103266969
100,"norm","Normal","ged","GED",0.0858250947712918,0.0608137520788384,0.0766699705956441,0.0885469846068161,0.0785608499235791,0.0268163387256913,0.0576032480586625,0.183049351954578,0.137507673754813,0.108863709284282,0.121800032949924,0.330555133425612,1.8354356835304,1.99174589468968
1000,"norm","Normal","ged","GED",0.031654397660404,0.0289247503770792,0.0308861973942585,0.0397424630282111,0.00126781249691609,0.000843824813978675,0.00116230402137247,0.0018514014686483,0.0249938314128172,0.0229762009895172,0.0241196936924018,0.0340116617818143,1.84373388261955,1.87318041429344
5000,"norm","Normal","ged","GED",0.0131273764085295,0.0127338235829553,0.0128098167914441,0.017486964056536,0.000159016308945903,0.000153064969558173,0.000150578090015492,0.000314752727558932,0.00987841039068196,0.00985974542169587,0.00967099829994154,0.0140892936372167,1.83875546007333,1.84657609190303
8000,"norm","Normal","ged","GED",0.0102491554369335,0.010010509127341,0.00999790358903854,0.0137278468497261,9.74591451873393e-05,9.29272294271836e-05,9.29645797880129e-05,0.000194316599137168,0.00780458973153172,0.00768248386837758,0.00761588030434092,0.0111418428575746,1.83850207831509,1.84374247593059
100,"norm","Normal","sged","Skewed GED",0.0752211978240326,0.0564900011982733,0.0670931377524109,0.0806926829739547,0.0711955563074641,0.0237866758390819,0.0538620353966848,0.174248452480007,0.132209751743895,0.11715029568103,0.118083406651287,0.339329324081917,1.83533811837246,2.01770003139163
1000,"norm","Normal","sged","Skewed GED",0.0320103517966706,0.0291426832114346,0.0312058063799059,0.0398852528040574,0.00128197724677169,0.000850845661545914,0.00117432263409874,0.0018528105172356,0.0250026630657095,0.0230767742593071,0.0241475680116157,0.0340386237172492,1.84472642558844,1.87908071254131
5000,"norm","Normal","sged","Skewed GED",0.0131126109377298,0.0127208919532577,0.0127929790130577,0.0174549983079523,0.000159033527449955,0.000153287598018914,0.000150660954832124,0.000315066269314431,0.00988142233340975,0.00986501987260709,0.00967773636013559,0.0140919809275799,1.83895035777636,1.84807442824434
8000,"norm","Normal","sged","Skewed GED",0.0102885748416914,0.0100363252000731,0.0100426205561504,0.0137378254209859,9.74726681693484e-05,9.30219248965125e-05,9.30053197467924e-05,0.000194344889133543,0.00780571610965143,0.00768550167025542,0.00761645932336874,0.0111424674059965,1.83862732343606,1.84474112065414
100,"norm","Normal","std","Student-t",0.0945227120628685,0.0625603995097543,0.0847918415905678,0.0923423893518014,0.0914501944999135,0.024264801872288,0.0702401762463411,0.240346114294341,0.148113232019991,0.118382134940409,0.134167000687707,0.389645058675228,1.85754127808243,2.01385148924171
1000,"norm","Normal","std","Student-t",0.0309237371248465,0.0286510900467305,0.0301307220623939,0.040226090765881,0.00128431898516249,0.000846887590109898,0.00117429984211972,0.00187522164491844,0.0250810207769689,0.0230408642370822,0.0242115295258344,0.0341613415815553,1.84482997721802,1.87427650889191
5000,"norm","Normal","std","Student-t",0.0128429570756543,0.0126080112775109,0.0125598482283144,0.017612994825904,0.000159404200652519,0.000153142009201796,0.000150621660787823,0.000315560076382173,0.00988479451811269,0.00986823667323242,0.00967192366971119,0.0141085201589601,1.83911293759688,1.84693356942658
8000,"norm","Normal","std","Student-t",0.0101770532180906,0.0100087335552983,0.00994527231923627,0.0139873042072357,9.7850451127152e-05,9.322772708628e-05,9.3069989167964e-05,0.00019458193901115,0.00781449472364288,0.00769433093556628,0.00762233856899306,0.0111535097496188,1.83878370689084,1.84402410450634
100,"norm","Normal","sstd","Skewed Student-t",0.0992434955847147,0.0649396893398356,0.0890223549715884,0.0968470222229754,0.106890343038186,0.0337352140428197,0.0884596490121071,0.277377869943361,0.163189572364748,0.135810185646776,0.151236986747861,0.40470388136328,1.86407004491762,2.04643195793678
1000,"norm","Normal","sstd","Skewed Student-t",0.0326931871315246,0.0300448463584899,0.0320318478486829,0.0420893397871861,0.00128763092298622,0.000856579001201681,0.00118153339974783,0.00187867420963288,0.0250702967269334,0.0231797128563555,0.0242372570734492,0.0342112405050072,1.84622377429303,1.8805780612459
5000,"norm","Normal","sstd","Skewed Student-t",0.0128978070401217,0.0126944151562622,0.0126183923982099,0.0177593780239251,0.000159372554234905,0.00015365937342905,0.000150956885397997,0.000316733512066328,0.0098878529195731,0.00988062260073727,0.00968457374485121,0.014128374633438,1.83957336959815,1.84869744006613
8000,"norm","Normal","sstd","Skewed Student-t",0.0102106146602481,0.0100762066792329,0.00998278834486384,0.0141220511310119,9.78638640759819e-05,9.35860449831007e-05,9.32491963352641e-05,0.000195174662555653,0.00781468746365713,0.00770574170701571,0.00762809739049642,0.0111681145148756,1.83915774921733,1.84527154643541
100,"ged","GED","norm","Normal",0.0761137499344023,0.0578871115639155,0.0669623071070811,0.0822823480000235,0.0778506459952812,0.0260069250357072,0.0553191417323674,0.226214901652388,0.136506823089597,0.124485622687739,0.119154805044363,0.386674513206607,1.80485886763303,1.93511737693244
1000,"ged","GED","norm","Normal",0.0311095620751487,0.0283726313595091,0.0304513767046465,0.0373276828400305,0.00181555405031831,0.0011739469539761,0.001698420314391,0.00239054815191235,0.0295827746256767,0.0270952593971574,0.0288818655954926,0.0387957323331747,1.84086446043714,1.86540323683205
5000,"ged","GED","norm","Normal",0.0126280879914676,0.0124542975145415,0.0124978674270097,0.0168155832934549,0.000212738113983089,0.000209372933321642,0.000205432213109794,0.000387016752630963,0.0117082453147058,0.0116164792629065,0.0113382864975596,0.0155938106987457,1.83889860082927,1.84541579402068
8000,"ged","GED","norm","Normal",0.00977410226382416,0.00972632230210002,0.00964777111646638,0.0131023000797116,0.000135877581979649,0.000124733420325136,0.000124514143651908,0.000230940066802247,0.00935568070479233,0.00892089163208962,0.00880955768650118,0.0120941990953636,1.83872970401776,1.84309670203067
100,"ged","GED","ged","GED",0.087523172108377,0.0664218308409052,0.0773832261806904,0.0928508789125706,0.0833820464049778,0.031784137216556,0.0622270966184804,0.225320726944596,0.142217909581899,0.129245914716453,0.12625672843513,0.383116279862778,1.81543878178657,1.97174899294586
1000,"ged","GED","ged","GED",0.0361200365944886,0.0328246771404379,0.0350575565394775,0.043131565977577,0.00193491308684289,0.00114403791931559,0.00172917098589497,0.00232953387739922,0.0293633821119845,0.02670396223686,0.0284139796808462,0.0383191823258213,1.82368591830509,1.85313244997899
5000,"ged","GED","ged","GED",0.0146695692698889,0.0144268762017827,0.0142986968028819,0.0189208993047051,0.000207942756583999,0.000203372376806052,0.000198683523318806,0.000372118539757575,0.0114226227686234,0.0114287653217306,0.0111440657049771,0.0153048058755136,1.81971684179346,1.82753747362316
8000,"ged","GED","ged","GED",0.0115113429558784,0.0113913972652868,0.011225192068573,0.0148998264272827,0.000127399632178977,0.000120936285618359,0.000119434660581355,0.000224305663243656,0.00891179543683521,0.00876338647515423,0.0086460781302208,0.0119256858731041,1.81928450120348,1.82452489881897
100,"ged","GED","sged","Skewed GED",0.0769587400901542,0.0599642706653881,0.0700442371830316,0.0838108844519496,0.0755916203586423,0.0338076213794621,0.056593659734793,0.24451271967359,0.136361119563126,0.142318743066411,0.120755696489948,0.400767398287321,1.81553940238185,1.99790131540102
1000,"ged","GED","sged","Skewed GED",0.0361102003714711,0.0327758723180309,0.0350413399348116,0.0431342675528009,0.00194704498336749,0.00115130377828903,0.0017382555029419,0.00233758456245995,0.0294007073380897,0.0267503845480336,0.028478186980937,0.0384319509851719,1.82466918425041,1.85902347120329
5000,"ged","GED","sged","Skewed GED",0.0146665441074805,0.0144202053534993,0.0142943786746546,0.0189183720664416,0.000208116175096541,0.000203382579693357,0.000198891915200311,0.000371844824592251,0.0114169154570299,0.0114327006199264,0.0111514888836391,0.0152964923658073,1.81991979392982,1.8290438643978
8000,"ged","GED","sged","Skewed GED",0.0115190186582824,0.0114060259514746,0.0112297655603301,0.0149071468740052,0.00012755000324661,0.000120982121488458,0.000119506675606685,0.000224718755470979,0.00891735389945234,0.00877017012732641,0.00865093692556006,0.0119333609015265,1.81940732618119,1.82552112339927
100,"ged","GED","std","Student-t",0.0965247678420481,0.0675882373320379,0.0824333905755528,0.0963410058499666,0.101958059911868,0.0375343148537295,0.0761166657038902,0.284254255900227,0.157814137908176,0.14287560975333,0.142040616840648,0.434644981622707,1.84823422670015,2.00454443785944
1000,"ged","GED","std","Student-t",0.0351479368108142,0.0320616645971392,0.0342142562472472,0.0435530411778208,0.00195811078896968,0.00118308179847154,0.00180251374629905,0.00238879822924819,0.0295874767579856,0.0271348904786465,0.0289234269597157,0.0388325270008872,1.82673351393176,1.85618004560566
5000,"ged","GED","std","Student-t",0.014460480784754,0.0142965707434595,0.0141815872711113,0.0190742941090399,0.000208749881276246,0.000209109504156877,0.000203751980581263,0.000379702392315068,0.0114848226078155,0.01157338786518,0.0112726985363041,0.0154756450706075,1.82274969552422,1.83057032735392
8000,"ged","GED","std","Student-t",0.0113213831991508,0.0112994766860755,0.0110872792684609,0.0150169465752995,0.000127741300919487,0.000124652779746368,0.000121753405872297,0.000229967298706031,0.00896762199636122,0.00887998926547994,0.00874636145314246,0.0120943428424576,1.82230041177908,1.82754080939458
100,"ged","GED","sstd","Skewed Student-t",0.098429838842574,0.0696152623246183,0.0849734706523739,0.0997347860514628,0.109401440647683,0.0547379317583758,0.0854318976456608,0.329449818115016,0.163865076534354,0.161912451636944,0.150838300127144,0.452749338409183,1.84444136510862,2.02680327812779
1000,"ged","GED","sstd","Skewed Student-t",0.0356599250963333,0.0324271173049549,0.0347125600098177,0.0440366980992981,0.00202974774440741,0.00119038251183666,0.0018573508673034,0.00239960548535111,0.0297743743874917,0.0271894648403856,0.0291187898456851,0.0389530060939827,1.82782708076551,1.86218136771839
5000,"ged","GED","sstd","Skewed Student-t",0.014651242869683,0.0144020769596728,0.0143515768172412,0.0191791369072405,0.000209007677729182,0.000209236555214128,0.00020400484847986,0.000379444245510676,0.0114848519762823,0.0115780705248757,0.0112817328322239,0.0154640592499569,1.82297603167603,1.83210010214401
8000,"ged","GED","sstd","Skewed Student-t",0.0112996551629584,0.0112611201058782,0.0110616747314248,0.0149872343651928,0.000127845033561978,0.000124695440695561,0.00012177158367299,0.000230337838594842,0.00897152391777165,0.0088850892427822,0.00875032354893927,0.0121043879274077,1.82243873333243,1.82855253055051
100,"sged","Skewed GED","norm","Normal",0.649673726602316,25.7924489860842,0.408480514408613,10.2023187830326,0.0758584068763631,0.0570091790615821,0.0509012508547901,0.262847517179977,0.136962990541053,0.145614045991651,0.116324683840359,0.431296790862316,1.7836696841457,1.9139281934451
1000,"sged","Skewed GED","norm","Normal",0.0360878592403519,0.0314956428436882,0.0352455230117705,0.0415178535770431,0.00465834570141952,0.00216922332365929,0.00461675638124366,0.00447593056915815,0.0430432943332886,0.0365745434930393,0.0424351774457224,0.0527477941868379,1.83742415247627,1.86196292887118
5000,"sged","Skewed GED","norm","Normal",0.0157553774516509,0.0145782678255123,0.015643937310134,0.0193414341288513,0.000451140341474094,0.000386867677400312,0.000446621469007709,0.000698014490415163,0.0166641012995816,0.0156078914501527,0.0164274668727446,0.0210714283099152,1.8383551690317,1.84487236222312
8000,"sged","Skewed GED","norm","Normal",0.0122653007820196,0.0115018540412653,0.0121785795159985,0.0152585800704849,0.000282934499253602,0.000236357694050058,0.000278528828671632,0.00042223212173743,0.0132953862840311,0.0122150833889557,0.0130598316771969,0.0164631187384358,1.83810266602851,1.84246966404143
100,"sged","Skewed GED","ged","GED",0.0790741884745617,0.0652513350786219,0.0671908160784802,0.0918085357102697,0.0865089676106564,0.0426193220815693,0.0606927633807397,0.3168071664777,0.150151274722905,0.153610693128357,0.127340049944092,0.441791560831137,1.78109399144844,1.93740420260772
1000,"sged","Skewed GED","ged","GED",0.0419120276022579,0.0396284726736617,0.0428418845454737,0.0507798771417464,0.0037770096383154,0.00254002932001552,0.00423892963945178,0.00431162773572123,0.0409908595235111,0.0390312554843589,0.0412881106082975,0.0515831189230397,1.81433333075898,1.84377986243288
5000,"sged","Skewed GED","ged","GED",0.0192925279407133,0.0190949777980537,0.0201688077065113,0.0241142211044929,0.000436735193238581,0.000517055505628624,0.000519226440850888,0.000668543895609083,0.0169838896660817,0.018070453640774,0.0172977561129785,0.020583007315341,1.81270965901743,1.82053029084713
8000,"sged","Skewed GED","ged","GED",0.0148572065253986,0.0150605618585799,0.0155476037599051,0.0189527781960665,0.000294282254279654,0.000361571713646585,0.000348260242719164,0.000413086558199689,0.0140084727630048,0.0151146677294626,0.0144456882092797,0.0161948709107632,1.81213586441237,1.81737626202787
100,"sged","Skewed GED","sged","Skewed GED",0.0483015764320626,0.0366350356346999,0.0433465282063136,0.0554317662557359,0.0640498353682212,0.0251905621106666,0.0491870540677508,0.175218510620694,0.125799879345296,0.119004949621768,0.115478487021682,0.27836551066809,1.61431975796099,1.79668167098016
1000,"sged","Skewed GED","sged","Skewed GED",0.0355694942169395,0.0283915183757706,0.0345076707178156,0.0363984152864421,0.00120282861938513,0.000813183937786937,0.00114027205002475,0.00151505104824325,0.025359635885586,0.0225503151269955,0.0246766874885437,0.0311240333715466,1.61549234693594,1.64984663388882
5000,"sged","Skewed GED","sged","Skewed GED",0.0153009066503428,0.013206257729093,0.0148732976828889,0.0164025362315639,0.000166873476464487,0.000142520363834641,0.000160277235709678,0.00025660633759961,0.0100953454111168,0.00952781530850233,0.00991900979409713,0.0127658979288624,1.61106150676098,1.62018557722897
8000,"sged","Skewed GED","sged","Skewed GED",0.0112783736051967,0.0100889818115348,0.0109746050331986,0.0127807870639374,9.94439935687432e-05,9.02625967978378e-05,9.53509964180541e-05,0.000156114553731348,0.00790543010111627,0.00758929321626939,0.00774636416641991,0.00998389079118714,1.6102432032183,1.61635700043638
100,"sged","Skewed GED","std","Student-t",0.0939839357656053,0.0771068583746717,0.0748367228164118,0.104684045434416,0.101600496445704,0.0621664578004525,0.0775922591568686,0.387446356131881,0.16165885184973,0.170154273919112,0.143147424794878,0.502086398684122,1.77779767852888,1.93410788968816
1000,"sged","Skewed GED","std","Student-t",0.042402119022873,0.041434021325012,0.0433198128619171,0.0541250003200836,0.0028800958356034,0.00235960762117801,0.00323312462493066,0.00369885478252277,0.0377052198687331,0.0374671714453593,0.0376576326958582,0.0478965337560563,1.79645390169868,1.82590043337257
