"n","true_dist","assumed_dist","parameter","true_value","mean_estimate","bias","mean_abs_error","parameter_mse","parameter_rmse","true_dist_label","assumed_dist_label"
100,"ged","sstd","gamma1",0.1,-0.250888452447337,-0.350888452447338,0.452749338409183,0.329449818115016,0.573977193026879,"GED","Skewed Student-t"
100,"ged","sstd","mu",0,0.0129481536462399,0.0129481536462399,0.0625597961983965,0.00652354967242125,0.0807684943057703,"GED","Skewed Student-t"
100,"ged","sstd","omega",-0.1,-0.21904152538082,-0.11904152538082,0.163865076534354,0.109401440647683,0.330758885969347,"GED","Skewed Student-t"
100,"ged","sstd","shape",1.5,21.6222117135758,20.1222117135758,20.1222117135758,882.708063480541,29.7104032870734,"GED","Skewed Student-t"
100,"ged","sstd","skew",NA,1.07149956353466,NA,NA,NA,NA,"GED","Skewed Student-t"
100,"ged","std","alpha1",0.15,0.19479653989017,0.0447965398901698,0.14287560975333,0.0375343148537295,0.193737747622216,"GED","Student-t"
100,"ged","std","beta1",0.9,0.795101440270519,-0.104898559729481,0.142040616840648,0.0761166657038902,0.275892489393768,"GED","Student-t"
100,"ged","std","gamma1",0.1,-0.242279821418419,-0.342279821418419,0.434644981622707,0.284254255900227,0.533155001758613,"GED","Student-t"
100,"ged","std","mu",0,0.0114886369651925,0.0114886369651925,0.0552499759291248,0.00501974417077425,0.0708501529340216,"GED","Student-t"
100,"ged","std","omega",-0.1,-0.218734143421077,-0.118734143421077,0.157814137908176,0.101958059911868,0.319308721947691,"GED","Student-t"
100,"ged","std","shape",1.5,29.0549625730936,27.5549625730936,27.5549625730936,2040.05723861573,45.1669928002267,"GED","Student-t"
100,"ged","std","skew",NA,NA,NA,NA,NA,NA,"GED","Student-t"
100,"norm","ged","alpha1",0.15,0.18523705484457,0.03523705484457,0.108863709284282,0.0268163387256913,0.163756950159959,"Normal","GED"
100,"norm","ged","beta1",0.9,0.821265465824986,-0.0787345341750142,0.121800032949924,0.0576032480586625,0.240006766693488,"Normal","GED"
100,"norm","ged","gamma1",0.1,-0.147342509575021,-0.247342509575021,0.330555133425612,0.183049351954578,0.427842671965499,"Normal","GED"
100,"norm","ged","mu",0,0.0123516078550496,0.0123516078550496,0.0578588708472625,0.00575919654284765,0.0758893704206831,"Normal","GED"
100,"norm","ged","omega",-0.1,-0.193923362077445,-0.0939233620774452,0.137507673754813,0.0785608499235791,0.280287084831926,"Normal","GED"
100,"norm","ged","shape",NA,3.14622233694502,NA,NA,NA,NA,"Normal","GED"
100,"norm","ged","skew",NA,NA,NA,NA,NA,NA,"Normal","GED"
100,"norm","norm","alpha1",0.15,0.181158580541156,0.0311585805411564,0.106401371904065,0.019095330025535,0.13818585320334,"Normal","Normal"
100,"norm","norm","beta1",0.9,0.83260610952108,-0.06739389047892,0.110194893236121,0.0471401347289298,0.217117789987209,"Normal","Normal"
100,"norm","norm","gamma1",0.1,-0.174143397107252,-0.274143397107252,0.3476510377634,0.185109490052039,0.430243524125627,"Normal","Normal"
100,"norm","norm","mu",0,0.0122431551924413,0.0122431551924413,0.0557407755874151,0.00506850661569075,0.0711934450331683,"Normal","Normal"
100,"norm","norm","omega",-0.1,-0.179613401280412,-0.0796134012804124,0.125194461950381,0.0654770611940338,0.255884859251253,"Normal","Normal"
100,"norm","norm","shape",NA,NA,NA,NA,NA,NA,"Normal","Normal"
100,"norm","norm","skew",NA,NA,NA,NA,NA,NA,"Normal","Normal"
100,"norm","sged","alpha1",0.15,0.185794262430112,0.0357942624301123,0.11715029568103,0.0237866758390819,0.154229296306123,"Normal","Skewed GED"
100,"norm","sged","beta1",0.9,0.82411491132697,-0.0758850886730304,0.118083406651287,0.0538620353966848,0.232081958361017,"Normal","Skewed GED"
100,"norm","sged","gamma1",0.1,-0.15366660428793,-0.25366660428793,0.339329324081917,0.174248452480007,0.417430775674251,"Normal","Skewed GED"
100,"norm","sged","mu",0,0.013413882838901,0.013413882838901,0.0581580468917322,0.00558258486878901,0.0747166973894658,"Normal","Skewed GED"
100,"norm","sged","omega",-0.1,-0.187978921777914,-0.0879789217779143,0.132209751743895,0.0711955563074641,0.266824954431672,"Normal","Skewed GED"
100,"norm","sged","shape",NA,3.01009760211986,NA,NA,NA,NA,"Normal","Skewed GED"
100,"norm","sged","skew",NA,1.68579432102118,NA,NA,NA,NA,"Normal","Skewed GED"
100,"norm","sstd","alpha1",0.15,0.195308254308601,0.0453082543086011,0.135810185646776,0.0337352140428197,0.183671484021935,"Normal","Skewed Student-t"
100,"norm","sstd","beta1",0.9,0.784858705191183,-0.115141294808817,0.151236986747861,0.0884596490121071,0.297421668699688,"Normal","Skewed Student-t"
100,"norm","sstd","gamma1",0.1,-0.212542553319021,-0.312542553319021,0.40470388136328,0.277377869943361,0.526666754165631,"Normal","Skewed Student-t"
100,"norm","sstd","mu",0,0.01404130477689,0.01404130477689,0.0598602075109087,0.00622479004672767,0.078897338654277,"Normal","Skewed Student-t"
100,"norm","sstd","omega",-0.1,-0.222474524795931,-0.122474524795931,0.163189572364748,0.106890343038186,0.326940886152506,"Normal","Skewed Student-t"
100,"norm","sstd","shape",NA,35.2868126669806,NA,NA,NA,NA,"Normal","Skewed Student-t"
100,"norm","sstd","skew",NA,1.09978759760453,NA,NA,NA,NA,"Normal","Skewed Student-t"
100,"norm","std","alpha1",0.15,0.189176822547915,0.0391768225479148,0.118382134940409,0.024264801872288,0.155771633721573,"Normal","Student-t"
100,"norm","std","beta1",0.9,0.804483919278149,-0.0955160807218513,0.134167000687707,0.0702401762463411,0.265028632880187,"Normal","Student-t"
100,"norm","std","gamma1",0.1,-0.211909696789017,-0.311909696789017,0.389645058675228,0.240346114294341,0.490251072711056,"Normal","Student-t"
100,"norm","std","mu",0,0.0123531642606463,0.0123531642606463,0.0562523214573361,0.00521534468022746,0.0722173433478929,"Normal","Student-t"
100,"norm","std","omega",-0.1,-0.207728429183338,-0.107728429183338,0.148113232019991,0.0914501944999135,0.302407332086895,"Normal","Student-t"
100,"norm","std","shape",NA,52.5559533452355,NA,NA,NA,NA,"Normal","Student-t"
100,"norm","std","skew",NA,NA,NA,NA,NA,NA,"Normal","Student-t"
100,"sged","ged","alpha1",0.15,0.204868156661458,0.0548681566614582,0.153610693128357,0.0426193220815693,0.206444476994589,"Skewed GED","GED"
100,"sged","ged","beta1",0.9,0.822885570816507,-0.0771144291834934,0.127340049944092,0.0606927633807397,0.246359013191602,"Skewed GED","GED"
100,"sged","ged","gamma1",0.1,-0.220044107598749,-0.320044107598749,0.441791560831137,0.3168071664777,0.562856257385223,"Skewed GED","GED"
100,"sged","ged","mu",0,0.0653954952351594,0.0653954952351594,0.10120037616844,0.0168877671338645,0.129952941997727,"Skewed GED","GED"
100,"sged","ged","omega",-0.1,-0.18612674293345,-0.0861267429334504,0.150151274722905,0.0865089676106564,0.29412406839743,"Skewed GED","GED"
100,"sged","ged","shape",1.5,2.36752301733667,0.867523017336672,1.02659017469243,14.5370043177825,3.81274236184174,"Skewed GED","GED"
100,"sged","ged","skew",0.5,NA,NA,NA,NA,NA,"Skewed GED","GED"
100,"sged","norm","alpha1",0.15,0.204394168912649,0.0543941689126488,0.145614045991651,0.0570091790615821,0.238765950381502,"Skewed GED","Normal"
100,"sged","norm","beta1",0.9,0.837228643563995,-0.0627713564360053,0.116324683840359,0.0509012508547901,0.225613055594729,"Skewed GED","Normal"
100,"sged","norm","gamma1",0.1,-0.213759538649849,-0.313759538649849,0.431296790862316,0.262847517179977,0.512686568168094,"Skewed GED","Normal"
100,"sged","norm","mu",0,0.0458291695686479,0.0458291695686479,0.0697613580178748,0.00868486680864788,0.0931926328024264,"Skewed GED","Normal"
100,"sged","norm","omega",-0.1,-0.17889008729655,-0.0788900872965504,0.136962990541053,0.0758584068763631,0.275424049197529,"Skewed GED","Normal"
100,"sged","norm","shape",1.5,NA,NA,NA,NA,NA,"Skewed GED","Normal"
100,"sged","norm","skew",0.5,NA,NA,NA,NA,NA,"Skewed GED","Normal"
100,"sged","sged","alpha1",0.15,0.131681351343569,-0.0183186486564305,0.119004949621768,0.0251905621106666,0.158715349322826,"Skewed GED","Skewed GED"
100,"sged","sged","beta1",0.9,0.830198688615533,-0.069801311384467,0.115478487021682,0.0491870540677508,0.221781545823251,"Skewed GED","Skewed GED"
100,"sged","sged","gamma1",0.1,-0.0896731532345764,-0.189673153234576,0.27836551066809,0.175218510620694,0.418591101936836,"Skewed GED","Skewed GED"
100,"sged","sged","mu",0,0.00352801699320614,0.00352801699320614,0.0554343341955626,0.00537517459068143,0.0733155821819716,"Skewed GED","Skewed GED"
100,"sged","sged","omega",-0.1,-0.178033878690831,-0.0780338786908311,0.125799879345296,0.0640498353682212,0.253080689441572,"Skewed GED","Skewed GED"
100,"sged","sged","shape",1.5,1.70888945540767,0.208889455407669,0.468330173131694,0.48271341097072,0.694775799068102,"Skewed GED","Skewed GED"
100,"sged","sged","skew",0.5,0.378978163513717,-0.121021836486283,0.164318200122277,0.0550344884346995,0.234594306057712,"Skewed GED","Skewed GED"
100,"sged","sstd","alpha1",0.15,0.137698831743079,-0.0123011682569213,0.133181723647775,0.0310631534751814,0.176247421187322,"Skewed GED","Skewed Student-t"
100,"sged","sstd","beta1",0.9,0.798548511107578,-0.101451488892422,0.146003219287074,0.074355792214379,0.272682585095526,"Skewed GED","Skewed Student-t"
100,"sged","sstd","gamma1",0.1,-0.106257272290643,-0.206257272290643,0.317954929718702,0.168985287507147,0.41107820120647,"Skewed GED","Skewed Student-t"
100,"sged","sstd","mu",0,-0.000950032167188576,-0.000950032167188576,0.0568868494679505,0.00518827391985149,0.0720296738841118,"Skewed GED","Skewed Student-t"
100,"sged","sstd","omega",-0.1,-0.188844403909504,-0.0888444039095037,0.154832599858155,0.0878929225492378,0.29646740554273,"Skewed GED","Skewed Student-t"
100,"sged","sstd","shape",1.5,19.4806841013355,17.9806841013355,17.9806841013355,754.858137668617,27.4746817573674,"Skewed GED","Skewed Student-t"
100,"sged","sstd","skew",0.5,0.374061841464719,-0.125938158535281,0.163933892926976,0.0539500820828282,0.23227156968262,"Skewed GED","Skewed Student-t"
100,"sged","std","alpha1",0.15,0.201874085269108,0.0518740852691076,0.170154273919112,0.0621664578004525,0.249332023214934,"Skewed GED","Student-t"
100,"sged","std","beta1",0.9,0.802629088482842,-0.0973709115171584,0.143147424794878,0.0775922591568686,0.278553871193471,"Skewed GED","Student-t"
100,"sged","std","gamma1",0.1,-0.269604151432714,-0.369604151432714,0.502086398684122,0.387446356131881,0.62245189061636,"Skewed GED","Student-t"
100,"sged","std","mu",0,0.0897416281159794,0.0897416281159794,0.100171901279848,0.0151772490881138,0.123195978376381,"Skewed GED","Student-t"
100,"sged","std","omega",-0.1,-0.187593449923007,-0.0875934499230069,0.16165885184973,0.101600496445704,0.318748327753581,"Skewed GED","Student-t"
100,"sged","std","shape",1.5,20.5927365105898,19.0927365105898,19.0927365105898,1265.51499790347,35.5740776114219,"Skewed GED","Student-t"
100,"sged","std","skew",0.5,NA,NA,NA,NA,NA,"Skewed GED","Student-t"
100,"sstd","ged","alpha1",0.15,0.207618981618599,0.057618981618599,0.157140000058227,0.0462307583441312,0.215013391080954,"Skewed Student-t","GED"
100,"sstd","ged","beta1",0.9,0.811253724498224,-0.0887462755017762,0.137763697797667,0.0703395227126909,0.265215992565853,"Skewed Student-t","GED"
100,"sstd","ged","gamma1",0.1,-0.194274891574399,-0.294274891574399,0.431162861489516,0.268138304723138,0.517820726432554,"Skewed Student-t","GED"
100,"sstd","ged","mu",0,0.0695554277820232,0.0695554277820232,0.0959379638874272,0.014235693792607,0.119313426707169,"Skewed Student-t","GED"
100,"sstd","ged","omega",-0.1,-0.19964891257043,-0.0996489125704299,0.161896701086663,0.0979052052926378,0.312898074926385,"Skewed Student-t","GED"
100,"sstd","ged","shape",8,2.26966165643843,-5.73033834356157,6.24804708086051,47.4516622316712,6.8885166931402,"Skewed Student-t","GED"
100,"sstd","ged","skew",0.5,NA,NA,NA,NA,NA,"Skewed Student-t","GED"
100,"sstd","norm","alpha1",0.15,0.21113156330075,0.0611315633007504,0.151964191842589,0.0427559085230687,0.206775019098219,"Skewed Student-t","Normal"
100,"sstd","norm","beta1",0.9,0.826805819206364,-0.073194180793636,0.124971085033042,0.0602160062760622,0.245389499115309,"Skewed Student-t","Normal"
100,"sstd","norm","gamma1",0.1,-0.194330255644282,-0.294330255644282,0.432907378053277,0.270412026943899,0.520011564240546,"Skewed Student-t","Normal"
100,"sstd","norm","mu",0,0.0456954862720234,0.0456954862720234,0.0686852677993982,0.00771519213864879,0.0878361664614798,"Skewed Student-t","Normal"
100,"sstd","norm","omega",-0.1,-0.192780690330479,-0.0927806903304794,0.148151447821749,0.0858273400918752,0.292963035367732,"Skewed Student-t","Normal"
100,"sstd","norm","shape",8,NA,NA,NA,NA,NA,"Skewed Student-t","Normal"
100,"sstd","norm","skew",0.5,NA,NA,NA,NA,NA,"Skewed Student-t","Normal"
100,"sstd","sged","alpha1",0.15,0.137025737250392,-0.0129742627496079,0.123264180093516,0.0483614449956916,0.219912357532931,"Skewed Student-t","Skewed GED"
100,"sstd","sged","beta1",0.9,0.826494510111247,-0.0735054898887528,0.11936082672787,0.0525461665977421,0.229229506385505,"Skewed Student-t","Skewed GED"
100,"sstd","sged","gamma1",0.1,-0.0764132349407465,-0.176413234940747,0.27672542369569,0.153273051270902,0.391501023333148,"Skewed Student-t","Skewed GED"
100,"sstd","sged","mu",0,0.00311752696669972,0.00311752696669972,0.0569913586199872,0.015554243585926,0.124716653202072,"Skewed Student-t","Skewed GED"
100,"sstd","sged","omega",-0.1,-0.183165662336707,-0.0831656623367072,0.131058926942723,0.069803744073814,0.264203981941632,"Skewed Student-t","Skewed GED"
100,"sstd","sged","shape",8,1.72692294871202,-6.27307705128798,6.28955346328028,40.1242510525288,6.33437061218625,"Skewed Student-t","Skewed GED"
100,"sstd","sged","skew",0.5,0.386715991700358,-0.113284008299642,0.17457322893483,0.0742855905614851,0.272553830575696,"Skewed Student-t","Skewed GED"
100,"sstd","sstd","alpha1",0.15,0.141848964714633,-0.0081510352853671,0.141292967667997,0.0514849879627168,0.226903036477516,"Skewed Student-t","Skewed Student-t"
100,"sstd","sstd","beta1",0.9,0.798300547165928,-0.101699452834072,0.147832251919095,0.0781464880109868,0.279546933467328,"Skewed Student-t","Skewed Student-t"
100,"sstd","sstd","gamma1",0.1,-0.10035342563432,-0.20035342563432,0.317256157189907,0.18006698235978,0.424343000837507,"Skewed Student-t","Skewed Student-t"
100,"sstd","sstd","mu",0,-0.000506621043462081,-0.000506621043462081,0.0566840593356029,0.0051918101417833,0.0720542166828792,"Skewed Student-t","Skewed Student-t"
